Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Excluded token ids: [101, 102]
Excluded tokens: ['[CLS]', '[SEP]']
Effective trainable embedding parameters: 31252480
Total model parameters: 335143938
Effective trainable percentage: 9.325091835616016
Step 50400/100000 | loss = 0.5738
Step 50500/100000 | loss = 0.5698
Step 50600/100000 | loss = 0.5609
Step 50700/100000 | loss = 0.5744
Step 50800/100000 | loss = 0.5699
Step 50900/100000 | loss = 0.5672
Step 51000/100000 | loss = 0.5653
Step 51100/100000 | loss = 0.5698
Step 51200/100000 | loss = 0.5652
Step 51300/100000 | loss = 0.5709
Step 51400/100000 | loss = 0.5728
Step 51500/100000 | loss = 0.5694
Step 51600/100000 | loss = 0.5693
Step 51700/100000 | loss = 0.5646
Step 51800/100000 | loss = 0.5670
Step 51900/100000 | loss = 0.5673
Step 52000/100000 | loss = 0.5622
Step 52100/100000 | loss = 0.5700
Step 52200/100000 | loss = 0.5638
Step 52300/100000 | loss = 0.5604
Step 52400/100000 | loss = 0.5735
Step 52500/100000 | loss = 0.5785
Step 52600/100000 | loss = 0.5683
Step 52700/100000 | loss = 0.5669
Step 52800/100000 | loss = 0.5668
Step 52900/100000 | loss = 0.5706
Step 53000/100000 | loss = 0.5591
Step 53100/100000 | loss = 0.5670
Step 53200/100000 | loss = 0.5585
Step 53300/100000 | loss = 0.5618
Step 53400/100000 | loss = 0.5590
Step 53500/100000 | loss = 0.5641
Step 53600/100000 | loss = 0.5529
Step 53700/100000 | loss = 0.5752
Step 53800/100000 | loss = 0.5551
Step 53900/100000 | loss = 0.5643
Step 54000/100000 | loss = 0.5620
Step 54100/100000 | loss = 0.5582
Step 54200/100000 | loss = 0.5568
Step 54300/100000 | loss = 0.5527
Step 54400/100000 | loss = 0.5606
Step 54500/100000 | loss = 0.5556
Step 54600/100000 | loss = 0.5704
Step 54700/100000 | loss = 0.5661
Step 54800/100000 | loss = 0.5576
Step 54900/100000 | loss = 0.5590
Step 55000/100000 | loss = 0.5711
Step 55100/100000 | loss = 0.5639
Step 55200/100000 | loss = 0.5661
Step 55300/100000 | loss = 0.5496
Step 55400/100000 | loss = 0.5597
Step 55500/100000 | loss = 0.5706
Step 55600/100000 | loss = 0.5547
Step 55700/100000 | loss = 0.5661
Step 55800/100000 | loss = 0.5578
Step 55900/100000 | loss = 0.5622
Step 56000/100000 | loss = 0.5607
Step 56100/100000 | loss = 0.5621
Step 56200/100000 | loss = 0.5560
Step 56300/100000 | loss = 0.5534
Step 56400/100000 | loss = 0.5540
Step 56500/100000 | loss = 0.5603
Step 56600/100000 | loss = 0.5520
Step 56700/100000 | loss = 0.5548
Step 56800/100000 | loss = 0.5580
Step 56900/100000 | loss = 0.5591
Step 57000/100000 | loss = 0.5558
Step 57100/100000 | loss = 0.5532
Step 57200/100000 | loss = 0.5516
Step 57300/100000 | loss = 0.5515
Step 57400/100000 | loss = 0.5617
Step 57500/100000 | loss = 0.5669
Step 57600/100000 | loss = 0.5607
Step 57700/100000 | loss = 0.5532
Step 57800/100000 | loss = 0.5714
Step 57900/100000 | loss = 0.5562
Step 58000/100000 | loss = 0.5564
Step 58100/100000 | loss = 0.5477
Step 58200/100000 | loss = 0.5568
Step 58300/100000 | loss = 0.5592
Step 58400/100000 | loss = 0.5614
Step 58500/100000 | loss = 0.5647
Step 58600/100000 | loss = 0.5569
Step 58700/100000 | loss = 0.5644
Step 58800/100000 | loss = 0.5481
Step 58900/100000 | loss = 0.5540
Step 59000/100000 | loss = 0.5543
Step 59100/100000 | loss = 0.5500
Step 59200/100000 | loss = 0.5571
Step 59300/100000 | loss = 0.5481
Step 59400/100000 | loss = 0.5427
Step 59500/100000 | loss = 0.5511
Step 59600/100000 | loss = 0.5548
Step 59700/100000 | loss = 0.5574
Step 59800/100000 | loss = 0.5512
Step 59900/100000 | loss = 0.5559
Step 60000/100000 | loss = 0.5501
Saved checkpoint: outputs/approach7_all_embeddings_except_cls_sep/checkpoint-60000
Step 60100/100000 | loss = 0.5620
Step 60200/100000 | loss = 0.5569
Step 60300/100000 | loss = 0.5603
Step 60400/100000 | loss = 0.5469
Step 60500/100000 | loss = 0.5568
Step 60600/100000 | loss = 0.5507
Step 60700/100000 | loss = 0.5513
Step 60800/100000 | loss = 0.5475
Step 60900/100000 | loss = 0.5482
Step 61000/100000 | loss = 0.5549
Step 61100/100000 | loss = 0.5551
Step 61200/100000 | loss = 0.5498
Step 61300/100000 | loss = 0.5583
Step 61400/100000 | loss = 0.5359
Step 61500/100000 | loss = 0.5565
Step 61600/100000 | loss = 0.5589
Step 61700/100000 | loss = 0.5490
Step 61800/100000 | loss = 0.5536
Step 61900/100000 | loss = 0.5508
Step 62000/100000 | loss = 0.5430
